TIPO_AGENTE,NOMBRE_COMERCIAL,RAZON_SOCIAL,ESTADO_AGENTE,DEPARTAMENTO,MUNICIPIO,CODIGO_MUNICIPIO_DANE,LATITUD,LONGITUD
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO SERRAMONTE,GASES DEL LLANO S.A. EMPRESA DE SERVICIOS PUBLICOS SIC,ACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO TERPEL LA TORRE GNV,MASSER S.A.S.,ACTIVO,CUNDINAMARCA,MOSQUERA,25473,4.7065300941,-74.2211532593
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO LA VICTORIA DE CUMARAL GNV,DISTRIBUCIONES HERNANDEZ VELASQUEZ LDTA,ACTIVO,META,CUMARAL,50226,4.2700419426,-73.4870529175
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO AVENIDA SUR GAS VEHICULAR,ESTACION DE SERVICIO AVENIDA SUR LIMITADA,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO RIOFRIO TERPEL,LORMO S.A.S,INACTIVO,VALLE DEL CAUCA,RIOFRIO,76616,4.1569080353,-76.2883148193
TALLER DE CONVERSION,TRANSINVERLOG SAS,INVERSIONES Y LOGISTICA DE TRANSPORTE DE CARGA SAS,INACTIVO,CUNDINAMARCA,MOSQUERA,25473,4.7065300941,-74.2211532593
TALLER DE CONVERSION,GLOBALTGY COLOMBIA GNV,GLOBALTGY COLOMBIA SAS,INACTIVO,CUNDINAMARCA,SOACHA,25754,4.5792679787,-74.215461731
ESTACION DE SERVICIO DE GNCV,EDS GNV PALMIRA,JARAMILLO BERNAL SAS,ACTIVO,VALLE DEL CAUCA,PALMIRA,76520,3.5315439701,-76.2988433838
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO SAN RAFAEL,GNE SOLUCIONES SAS,ACTIVO,BOGOTA D.C.,"BOGOTA, D.C.",11001,4.6492509842,-74.1069946289
ESTACION DE SERVICIO DE GNCV,ESTACIÓN  DE SERVICIO TOTAL ENERGY,VILLA-MONTOYA S.A.S.,INACTIVO,VALLE DEL CAUCA,CARTAGO,76147,4.7421917915,-75.9243774414
TALLER DE CONVERSION,ZAVOLI SOACHA,ZAVOLI COLOMBIA SAS,ACTIVO,CUNDINAMARCA,SOACHA,25754,4.5792679787,-74.215461731
TALLER DE CONVERSION,TECNICARS GNV GIRARDOT,PATARROYO IBAÑEZ ELKIN,ACTIVO,CUNDINAMARCA,GIRARDOT,25307,4.3130688667,-74.7982025146
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO TERPEL SABANETA GNV,DISTRIBUCIONES AGUIRRE SIERRA S.A.S.,INACTIVO,ANTIOQUIA,SABANETA,05631,6.1499028206,-75.6154785156
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO ESPERANZA BOSA,GRUPO EDS AUTOGAS S.A.S.,ACTIVO,BOGOTA D.C.,"BOGOTA, D.C.",11001,4.6492509842,-74.1069946289
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO PRADERA DE SUBA,C.I. CENTRAL DE COMBUSTIBLES Y LUBRICANTES S.A.S.,ACTIVO,BOGOTA D.C.,"BOGOTA, D.C.",11001,4.6492509842,-74.1069946289
ESTACION DE SERVICIO DE GNCV,EDS REAL DE MINAS S.A.,EDS REAL DE MINAS S.A.,ACTIVO,SANTANDER,BUCARAMANGA,68001,7.1164698601,-73.13256073
ESTACION DE SERVICIO DE GNCV,EDS MOBIL LOS ANDES,GRUPO EDS AUTOGAS S.A.S.,ACTIVO,BOGOTA D.C.,"BOGOTA, D.C.",11001,4.6492509842,-74.1069946289
